0,355,0,0,1,0,0,0,1,0,1,0,59,5,4,45,88,61,68,2,13,75
1,214,0,1,0,0,0,0,0,1,0,1,23,32,61,22,9,25,7,13,18,77
1,363,0,0,1,0,0,0,0,1,0,1,3,16,14,2,7,26,47,75,57,56
0,395,0,0,0,0,1,0,0,1,0,1,9,1,4,10,25,44,5,6,30,41
1,707,0,1,0,0,0,0,0,1,0,1,10,48,51,31,5,20,100,56,32,14
1,276,0,0,1,0,0,0,1,0,1,0,38,7,1,44,4,57,47,35,12,18
0,241,0,0,0,1,0,0,1,0,1,0,5,12,26,11,10,3,4,6,79,91
1,196,0,0,1,0,0,0,1,0,1,0,4,27,9,10,6,70,28,7,15,22
0,336,0,0,1,0,0,0,0,1,0,1,20,39,27,1,5,23,28,30,16,17
1,308,1,0,0,0,0,0,1,0,1,0,15,38,4,2,44,10,37,21,19,7
1,623,0,1,0,0,0,0,0,1,0,1,9,3,31,89,12,6,65,7,8,1
1,416,0,1,0,0,0,0,1,0,1,0,14,16,20,54,33,43,10,24,18,8
1,191,0,0,1,0,0,0,0,1,0,1,9,5,28,20,67,21,6,27,75,3
0,195,0,0,0,1,0,0,1,0,1,0,10,32,52,26,25,61,15,7,17,5
1,234,0,0,1,0,0,0,1,0,1,0,38,9,10,45,61,22,7,16,96,36
0,192,0,0,1,0,0,0,1,0,1,0,13,5,12,40,28,66,48,1,34,73
1,431,0,0,1,0,0,0,0,1,1,0,18,16,6,11,1,7,20,54,27,32
0,222,0,0,1,0,0,0,0,1,1,0,14,42,2,12,3,34,5,11,45,85
0,296,0,0,1,0,0,0,1,0,1,0,62,30,23,35,14,25,52,57,8,89
1,380,0,0,1,0,0,0,0,1,1,0,10,46,14,1,23,25,92,13,47,56
0,238,0,1,0,0,0,0,1,0,1,0,38,21,4,12,15,67,34,8,39,18
0,378,0,0,0,1,0,0,1,0,1,0,20,76,47,29,34,24,27,36,37,90
0,289,0,0,0,1,0,0,0,1,0,1,2,8,14,32,3,85,37,61,86,31
0,273,0,0,0,1,0,0,0,1,0,1,7,3,26,1,34,27,12,14,4,39
0,502,0,0,1,0,0,0,1,0,1,0,21,20,16,10,39,2,7,5,24,50
0,329,0,0,0,1,0,0,0,1,0,1,38,26,63,2,43,24,50,59,41,30
0,296,0,0,1,0,0,0,1,0,1,0,7,23,28,73,1,6,9,83,5,19
1,212,0,0,1,0,0,0,1,0,1,0,3,38,7,33,35,5,24,83,13,15
1,513,0,0,1,0,0,0,0,1,0,1,37,4,72,40,11,16,51,30,28,42
0,282,0,0,1,0,0,0,1,0,1,0,9,5,12,17,13,1,11,18,65,26
1,219,0,1,0,0,0,0,1,0,1,0,11,21,14,10,17,24,31,18,19,92
1,446,0,0,1,0,0,0,1,0,1,0,2,23,64,12,19,49,5,31,37,4
0,260,0,1,0,0,0,0,1,0,1,0,26,72,35,10,17,16,23,19,21,29
0,446,0,0,0,0,0,1,0,1,0,1,28,55,2,35,22,25,29,12,6,42
0,390,0,0,0,0,1,0,0,1,0,1,9,27,14,10,2,22,8,32,30,41
0,421,0,0,0,1,0,0,0,1,0,1,7,9,54,2,10,29,34,4,17,8
